key	text	tooltip
derpy_chd_ex_teb_dem_tithe_dyes_secondary	Sacrifice 30 Dyes in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_dyes_title	The Compact Calls: Dyes	false
derpy_chd_ex_teb_dem_hunger_dyes_primary	Purple is worn by three princes this year and made by nobody. What is left of the trade is in your warehouse and the Compact knows the number. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_dyes_secondary	Sacrifice 90 Dyes in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_dyes_title	The Debt Called In: Dyes	false
derpy_chd_ex_teb_dem_wrath_dyes_primary	Purple is worn by three princes this year and made by nobody. What is left of the trade is in your warehouse and the Compact knows the number. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_dyes_secondary	Sacrifice 180 Dyes in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_gems_title	A Note Presented: Gemstones	false
derpy_chd_ex_teb_dem_tithe_gems_primary	A dowry is being assembled for a marriage that settles two wars, and the stones set aside for it have been found to be paste. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_gems_secondary	Sacrifice 30 Gemstones in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_gems_title	The Compact Calls: Gemstones	false
derpy_chd_ex_teb_dem_hunger_gems_primary	A dowry is being assembled for a marriage that settles two wars, and the stones set aside for it have been found to be paste. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_gems_secondary	Sacrifice 90 Gemstones in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_gems_title	The Debt Called In: Gemstones	false
derpy_chd_ex_teb_dem_wrath_gems_primary	A dowry is being assembled for a marriage that settles two wars, and the stones set aside for it have been found to be paste. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_gems_secondary	Sacrifice 180 Gemstones in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_gold_idols_title	A Note Presented: Golden Idols	false
derpy_chd_ex_teb_dem_tithe_gold_idols_primary	Gold that has already been shaped is worth more than gold that has not, and the Temple has a use for it that is not being written down. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_gold_idols_secondary	Sacrifice 30 Golden Idols in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_gold_idols_title	The Compact Calls: Golden Idols	false
derpy_chd_ex_teb_dem_hunger_gold_idols_primary	Gold that has already been shaped is worth more than gold that has not, and the Temple has a use for it that is not being written down. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_gold_idols_secondary	Sacrifice 90 Golden Idols in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_gold_idols_title	The Debt Called In: Golden Idols	false
derpy_chd_ex_teb_dem_wrath_gold_idols_primary	Gold that has already been shaped is worth more than gold that has not, and the Temple has a use for it that is not being written down. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_gold_idols_secondary	Sacrifice 180 Golden Idols in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_ivory_title	A Note Presented: Tusks	false
derpy_chd_ex_teb_dem_tithe_ivory_primary	The Arabyan trade has closed for the season and the sculptors of Verezzo have work booked through the winter. They are asking, politely, twice. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_ivory_secondary	Sacrifice 30 Tusks in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_ivory_title	The Compact Calls: Tusks	false
derpy_chd_ex_teb_dem_hunger_ivory_primary	The Arabyan trade has closed for the season and the sculptors of Verezzo have work booked through the winter. They are asking, politely, twice. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_ivory_secondary	Sacrifice 90 Tusks in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_ivory_title	The Debt Called In: Tusks	false
derpy_chd_ex_teb_dem_wrath_ivory_primary	The Arabyan trade has closed for the season and the sculptors of Verezzo have work booked through the winter. They are asking, politely, twice. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_ivory_secondary	Sacrifice 180 Tusks in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_medicine_title	A Note Presented: Medicinal Plants	false
derpy_chd_ex_teb_dem_tithe_medicine_primary	Camp fever went through two companies before the muster and the surgeons have been buying at any price. Yours is the last stock inland. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_medicine_secondary	Sacrifice 30 Medicinal Plants in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_medicine_title	The Compact Calls: Medicinal Plants	false
derpy_chd_ex_teb_dem_hunger_medicine_primary	Camp fever went through two companies before the muster and the surgeons have been buying at any price. Yours is the last stock inland. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_medicine_secondary	Sacrifice 90 Medicinal Plants in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_medicine_title	The Debt Called In: Medicinal Plants	false
derpy_chd_ex_teb_dem_wrath_medicine_primary	Camp fever went through two companies before the muster and the surgeons have been buying at any price. Yours is the last stock inland. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_medicine_secondary	Sacrifice 180 Medicinal Plants in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_obsidian_title	A Note Presented: Carved Obsidian	false
derpy_chd_ex_teb_dem_tithe_obsidian_primary	The colleges of Remas pay in gold for black glass and ask no questions about its road. The Compact has quietly priced yours. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_obsidian_secondary	Sacrifice 30 Carved Obsidian in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_obsidian_title	The Compact Calls: Carved Obsidian	false
derpy_chd_ex_teb_dem_hunger_obsidian_primary	The colleges of Remas pay in gold for black glass and ask no questions about its road. The Compact has quietly priced yours. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_obsidian_secondary	Sacrifice 90 Carved Obsidian in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_obsidian_title	The Debt Called In: Carved Obsidian	false
derpy_chd_ex_teb_dem_wrath_obsidian_primary	The colleges of Remas pay in gold for black glass and ask no questions about its road. The Compact has quietly priced yours. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_obsidian_secondary	Sacrifice 180 Carved Obsidian in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_furs_title	A Note Presented: Furs	false
derpy_chd_ex_teb_dem_tithe_rom_furs_primary	The passes freeze early this year and every company marching north has the same line unfilled in its inventory. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_furs_secondary	Sacrifice 30 Furs in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_furs_title	The Compact Calls: Furs	false
derpy_chd_ex_teb_dem_hunger_rom_furs_primary	The passes freeze early this year and every company marching north has the same line unfilled in its inventory. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_furs_secondary	Sacrifice 90 Furs in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_furs_title	The Debt Called In: Furs	false
derpy_chd_ex_teb_dem_wrath_rom_furs_primary	The passes freeze early this year and every company marching north has the same line unfilled in its inventory. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_furs_secondary	Sacrifice 180 Furs in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_glass_title	A Note Presented: Dwarf Beer	false
derpy_chd_ex_teb_dem_tithe_rom_glass_primary	Estalian glass went to the bottom off Bilbali and the orders did not sink with it. Somebody must fill them, and somebody has been chosen. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_glass_secondary	Sacrifice 30 Dwarf Beer in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_glass_title	The Compact Calls: Dwarf Beer	false
derpy_chd_ex_teb_dem_hunger_rom_glass_primary	Estalian glass went to the bottom off Bilbali and the orders did not sink with it. Somebody must fill them, and somebody has been chosen. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_glass_secondary	Sacrifice 90 Dwarf Beer in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_glass_title	The Debt Called In: Dwarf Beer	false
derpy_chd_ex_teb_dem_wrath_rom_glass_primary	Estalian glass went to the bottom off Bilbali and the orders did not sink with it. Somebody must fill them, and somebody has been chosen. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_glass_secondary	Sacrifice 180 Dwarf Beer in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_iron_title	A Note Presented: Iron	false
derpy_chd_ex_teb_dem_tithe_rom_iron_primary	Every free company from Miragliano to the Vaults is re-arming this season, and the armourers have named your bars in their contracts. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_iron_secondary	Sacrifice 30 Iron in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_iron_title	The Compact Calls: Iron	false
derpy_chd_ex_teb_dem_hunger_rom_iron_primary	Every free company from Miragliano to the Vaults is re-arming this season, and the armourers have named your bars in their contracts. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_iron_secondary	Sacrifice 90 Iron in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_iron_title	The Debt Called In: Iron	false
derpy_chd_ex_teb_dem_wrath_rom_iron_primary	Every free company from Miragliano to the Vaults is re-arming this season, and the armourers have named your bars in their contracts. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_iron_secondary	Sacrifice 180 Iron in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_lead_title	A Note Presented: Salt	false
derpy_chd_ex_teb_dem_tithe_rom_lead_primary	The physicians want it, the printers want it and the gunners want it most. All three have applied to the Compact, and the Compact to you. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_lead_secondary	Sacrifice 30 Salt in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_lead_title	The Compact Calls: Salt	false
derpy_chd_ex_teb_dem_hunger_rom_lead_primary	The physicians want it, the printers want it and the gunners want it most. All three have applied to the Compact, and the Compact to you. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_lead_secondary	Sacrifice 90 Salt in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_lead_title	The Debt Called In: Salt	false
derpy_chd_ex_teb_dem_wrath_rom_lead_primary	The physicians want it, the printers want it and the gunners want it most. All three have applied to the Compact, and the Compact to you. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_lead_secondary	Sacrifice 180 Salt in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_marble_title	A Note Presented: Marble	false
derpy_chd_ex_teb_dem_tithe_rom_marble_primary	Half the cities of Tilea are rebuilding a facade for the glory of somebody, and every one of those commissions is short of stone. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_marble_secondary	Sacrifice 30 Marble in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_marble_title	The Compact Calls: Marble	false
derpy_chd_ex_teb_dem_hunger_rom_marble_primary	Half the cities of Tilea are rebuilding a facade for the glory of somebody, and every one of those commissions is short of stone. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_marble_secondary	Sacrifice 90 Marble in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_marble_title	The Debt Called In: Marble	false
derpy_chd_ex_teb_dem_wrath_rom_marble_primary	Half the cities of Tilea are rebuilding a facade for the glory of somebody, and every one of those commissions is short of stone. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_marble_secondary	Sacrifice 180 Marble in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_textiles_title	A Note Presented: Pottery	false
derpy_chd_ex_teb_dem_tithe_rom_textiles_primary	Four thousand men have been contracted and not one of them has been clothed. The tailors are waiting on cloth, and the cloth is yours. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_textiles_secondary	Sacrifice 30 Pottery in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_textiles_title	The Compact Calls: Pottery	false
derpy_chd_ex_teb_dem_hunger_rom_textiles_primary	Four thousand men have been contracted and not one of them has been clothed. The tailors are waiting on cloth, and the cloth is yours. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_textiles_secondary	Sacrifice 90 Pottery in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_textiles_title	The Debt Called In: Pottery	false
derpy_chd_ex_teb_dem_wrath_rom_textiles_primary	Four thousand men have been contracted and not one of them has been clothed. The tailors are waiting on cloth, and the cloth is yours. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_textiles_secondary	Sacrifice 180 Pottery in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_timber_title	A Note Presented: Timber	false
derpy_chd_ex_teb_dem_tithe_rom_timber_primary	The yards want keels and the condottieri want palisades. Timber has not been this scarce since the last time both wanted it at once. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_timber_secondary	Sacrifice 30 Timber in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_timber_title	The Compact Calls: Timber	false
derpy_chd_ex_teb_dem_hunger_rom_timber_primary	The yards want keels and the condottieri want palisades. Timber has not been this scarce since the last time both wanted it at once. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_timber_secondary	Sacrifice 90 Timber in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_timber_title	The Debt Called In: Timber	false
derpy_chd_ex_teb_dem_wrath_rom_timber_primary	The yards want keels and the condottieri want palisades. Timber has not been this scarce since the last time both wanted it at once. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_timber_secondary	Sacrifice 180 Timber in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_rom_wine_title	A Note Presented: Wine	false
derpy_chd_ex_teb_dem_tithe_rom_wine_primary	The vintage failed along the whole coast and the banqueting season has not been cancelled. Your cellars are the shortest way out of that. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_rom_wine_secondary	Sacrifice 30 Wine in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_rom_wine_title	The Compact Calls: Wine	false
derpy_chd_ex_teb_dem_hunger_rom_wine_primary	The vintage failed along the whole coast and the banqueting season has not been cancelled. Your cellars are the shortest way out of that. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_rom_wine_secondary	Sacrifice 90 Wine in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_rom_wine_title	The Debt Called In: Wine	false
derpy_chd_ex_teb_dem_wrath_rom_wine_primary	The vintage failed along the whole coast and the banqueting season has not been cancelled. Your cellars are the shortest way out of that. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_rom_wine_secondary	Sacrifice 180 Wine in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_spices_title	A Note Presented: Spices	false
derpy_chd_ex_teb_dem_tithe_spices_primary	A galley out of Sartosa failed to arrive and took the season's pepper with it. The Compact would rather buy yours than explain the shortfall. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_spices_secondary	Sacrifice 30 Spices in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_spices_title	The Compact Calls: Spices	false
derpy_chd_ex_teb_dem_hunger_spices_primary	A galley out of Sartosa failed to arrive and took the season's pepper with it. The Compact would rather buy yours than explain the shortfall. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_spices_secondary	Sacrifice 90 Spices in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_spices_title	The Debt Called In: Spices	false
derpy_chd_ex_teb_dem_wrath_spices_primary	A galley out of Sartosa failed to arrive and took the season's pepper with it. The Compact would rather buy yours than explain the shortfall. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_spices_secondary	Sacrifice 180 Spices in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_trinkets_title	A Note Presented: Elven Trinkets	false
derpy_chd_ex_teb_dem_tithe_trinkets_primary	Reliquaries sell better than relics and the workshops of Luccini have run out of the small bright things that go on them. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_trinkets_secondary	Sacrifice 30 Elven Trinkets in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_trinkets_title	The Compact Calls: Elven Trinkets	false
derpy_chd_ex_teb_dem_hunger_trinkets_primary	Reliquaries sell better than relics and the workshops of Luccini have run out of the small bright things that go on them. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_trinkets_secondary	Sacrifice 90 Elven Trinkets in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_trinkets_title	The Debt Called In: Elven Trinkets	false
derpy_chd_ex_teb_dem_wrath_trinkets_primary	Reliquaries sell better than relics and the workshops of Luccini have run out of the small bright things that go on them. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_trinkets_secondary	Sacrifice 180 Elven Trinkets in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_paid_title	The Note Discharged	false
derpy_chd_ex_teb_dem_paid_primary	The goods went out under the Temple's seal and the draft was cancelled in front of witnesses, as the form requires.	false
derpy_chd_ex_teb_dem_paid_secondary	Myrmidia is served, and your credit is a little better than it was.	false
derpy_chd_ex_teb_dem_wrath_title	The Note Protested	false
derpy_chd_ex_teb_dem_wrath_primary	Nothing was tendered by the day named. The notary attended, recorded that nothing was tendered, and filed it where such things are filed.	false
derpy_chd_ex_teb_dem_wrath_secondary	The Compact recovers its money the other way, and marks the ledger.	false
derpy_chd_ex_def_dem_tithe_animals_title	Khaine's Portion: Exotic Animals	false
derpy_chd_ex_def_dem_tithe_animals_primary	The beast-pens of Karond Kar are never full, and the beastmasters have been shown your manifest. The temple requires 30, and requires them today. A small offering. The temple keeps count, and the temple's count is the only one that matters.	false
derpy_chd_ex_def_dem_tithe_animals_secondary	Sacrifice 30 Exotic Animals in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_hunger_animals_title	The Temple Thirsts: Exotic Animals	false
derpy_chd_ex_def_dem_hunger_animals_primary	The beast-pens of Karond Kar are never full, and the beastmasters have been shown your manifest. The temple requires 90, and requires them today. More than the usual portion. The Hag Queens were consulted and were not in a moderate humour.	false
derpy_chd_ex_def_dem_hunger_animals_secondary	Sacrifice 90 Exotic Animals in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_wrath_animals_title	The Blood Price: Exotic Animals	false
derpy_chd_ex_def_dem_wrath_animals_primary	The beast-pens of Karond Kar are never full, and the beastmasters have been shown your manifest. The temple requires 180, and requires them today. The full sum, at once. The knives have been counted out onto the table, which is how the temple asks a second time.	false
derpy_chd_ex_def_dem_wrath_animals_secondary	Sacrifice 180 Exotic Animals in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_tithe_dyes_title	Khaine's Portion: Dyes	false
derpy_chd_ex_def_dem_tithe_dyes_primary	The robes of the temple are a particular red, and the temple is particular about how it is got. The dye itself is bought like anything else. The temple requires 30, and requires them today. A small offering. The temple keeps count, and the temple's count is the only one that matters.	false
derpy_chd_ex_def_dem_tithe_dyes_secondary	Sacrifice 30 Dyes in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_hunger_dyes_title	The Temple Thirsts: Dyes	false
derpy_chd_ex_def_dem_hunger_dyes_primary	The robes of the temple are a particular red, and the temple is particular about how it is got. The dye itself is bought like anything else. The temple requires 90, and requires them today. More than the usual portion. The Hag Queens were consulted and were not in a moderate humour.	false
derpy_chd_ex_def_dem_hunger_dyes_secondary	Sacrifice 90 Dyes in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_wrath_dyes_title	The Blood Price: Dyes	false
derpy_chd_ex_def_dem_wrath_dyes_primary	The robes of the temple are a particular red, and the temple is particular about how it is got. The dye itself is bought like anything else. The temple requires 180, and requires them today. The full sum, at once. The knives have been counted out onto the table, which is how the temple asks a second time.	false
derpy_chd_ex_def_dem_wrath_dyes_secondary	Sacrifice 180 Dyes in the Black Ark Market within 3 turns, or answer for it.	false
derpy_chd_ex_def_dem_tithe_gems_title	Khaine's Portion: Gemstones	false
derpy_chd_ex_def_dem_tithe_gems_primary	Gems buy silence, and silence is the one commodity in Naggaroth that never comes down in price. The temple requires 30, and requires them today. A small offering. The temple keeps count, and the temple's count is the only one that matters.	false
derpy_chd_ex_def_dem_tithe_gems_secondary	Sacrifice 30 Gemstones in the Black Ark Market within 3 turns, or answer for it.	false
